model_name,samples_per_gpu_per_s
microsoft/beit-large-patch16-512,1.3788805401922735
microsoft/swin-large-patch4-window12-384-in22k,4.0365743098678095
google/vit-base-patch16-384,5.375579030872932
google/vit-large-patch16-224,6.016419405830616
facebook/deit-tiny-patch16-224,6.116534751975664
facebook/deit-base-distilled-patch16-224,6.328108359320425
facebook/deit-base-distilled-patch16-384,6.77459692067042
facebook/deit-base-patch16-384,6.894014217500637
microsoft/swin-base-patch4-window12-384,7.8548600778138855
microsoft/cvt-21-384-22k,10.077952865846482
facebook/dinov2-small-imagenet1k-1-layer,10.433780003569119
facebook/dinov2-base-imagenet1k-1-layer,10.496028054324984
facebook/deit-small-patch16-224,10.88176562359107
microsoft/swinv2-base-patch4-window8-256,11.084654106900205
facebook/deit-base-patch16-224,11.09098988334933
Intel/vit-base-patch16-224-int8-static,11.301282406429403
microsoft/beit-base-patch16-224,11.363182943088399
microsoft/cvt-13,11.488686737231417
apple/mobilevit-small,12.508825926648933
microsoft/beit-base-patch16-224-pt22k-ft22k,12.860433834822013
apple/mobilevit-xx-small,15.233940001905665
facebook/levit-128S,21.88827379446388
