model_name,samples_per_gpu_per_s
Intel/vit-base-patch16-224-int8-static,22.579534831383057
apple/mobilevit-small,23.563598498343563
apple/mobilevit-xx-small,23.858502898855377
facebook/deit-base-patch16-224,22.762595410490697
facebook/deit-base-patch16-384,10.942463648220892
facebook/deit-small-patch16-224,28.907154971501487
facebook/deit-tiny-patch16-224,30.221382507899815
facebook/dinov2-base-imagenet1k-1-layer,20.021727405646452
facebook/dinov2-small-imagenet1k-1-layer,25.685017074720697
google/vit-base-patch16-384,10.926187209418849
google/vit-large-patch16-224,13.333739354776997
microsoft/beit-base-patch16-224,22.444780537365716
microsoft/beit-base-patch16-224-pt22k-ft22k,21.96513065433365
microsoft/beit-large-patch16-512,3.09910654775847
microsoft/cvt-13,23.468707229380314
microsoft/cvt-21-384-22k,12.485400942242038
microsoft/swin-base-patch4-window12-384,10.039261652735085
microsoft/swin-large-patch4-window12-384-in22k,7.449850874643531
microsoft/swinv2-base-patch4-window8-256,16.042745012888986
