model_name,samples_per_gpu_per_s
microsoft/beit-large-patch16-512,1.8766361426552478
microsoft/swin-large-patch4-window12-384-in22k,4.30726842703089
microsoft/swin-base-patch4-window12-384,5.16751278743286
microsoft/cvt-21-384-22k,5.725044900208084
google/vit-base-patch16-384,5.924763061106095
facebook/deit-base-patch16-384,6.5524163730813685
google/vit-large-patch16-224,12.39276103151721
microsoft/swinv2-base-patch4-window8-256,15.167451443794773
facebook/deit-small-patch16-224,18.505654361645284
facebook/dinov2-base-imagenet1k-1-layer,19.462187147060305
apple/mobilevit-small,20.37834938707376
facebook/deit-base-patch16-224,20.397916999420207
Intel/vit-base-patch16-224-int8-static,20.496216789684016
microsoft/beit-base-patch16-224,20.500991217846035
microsoft/beit-base-patch16-224-pt22k-ft22k,20.567658652815243
microsoft/cvt-13,21.47657211760675
apple/mobilevit-xx-small,21.76362573576915
facebook/dinov2-small-imagenet1k-1-layer,24.999745385725124
facebook/deit-tiny-patch16-224,29.764743249362006
