model_name,n_gpus,samples_per_gpu_per_s
Intel/vit-base-patch16-224-int8-static,1,20.496216789684016
apple/mobilevit-small,1,21.832720129232946
apple/mobilevit-xx-small,1,21.76362573576915
facebook/deit-base-patch16-224,1,20.397916999420207
facebook/deit-base-patch16-384,1,10.638745735496354
facebook/deit-small-patch16-224,1,28.021551432362713
facebook/deit-tiny-patch16-224,1,29.764743249362006
facebook/dinov2-base-imagenet1k-1-layer,1,19.462187147060305
facebook/dinov2-small-imagenet1k-1-layer,1,25.82519025267407
google/vit-base-patch16-384,1,10.288464659080047
google/vit-large-patch16-224,1,12.39276103151721
microsoft/beit-base-patch16-224,1,20.500991217846035
microsoft/beit-base-patch16-224-pt22k-ft22k,1,20.567658652815243
microsoft/beit-large-patch16-512,1,3.0137993983942306
microsoft/cvt-13,1,21.47657211760675
microsoft/cvt-21-384-22k,1,12.176713325838579
microsoft/swin-base-patch4-window12-384,1,10.039261652735085
microsoft/swin-large-patch4-window12-384-in22k,1,7.2741741476741035
microsoft/swinv2-base-patch4-window8-256,1,15.167451443794773
