model_name,dataset_name,job_type,group,n_gpus,runtime,n_samples,epochs,max_epochs
microsoft/beit-large-patch16-512,aharley/rvl_cdip,train,aharley/rvl_cdip_20231130-151813-370445,1,254866.07268118855,896000.0,2.8,10.0
facebook/deit-small-patch16-224,aharley/rvl_cdip,train,aharley/rvl_cdip_20231130-151813-370445,2,86460.06073236465,3200000.0,10.0,10.0
microsoft/beit-large-patch16-512,huggan/wikiart,train,huggan/wikiart_20231130-184447-563098,1,172383.36844587326,488664.0,8.0,10.0
facebook/dinov2-base-imagenet1k-1-layer,pcuenq/oxford-pets,train,pcuenq/oxford-pets_20231130-134100-654677,1,2775.050471305847,55117.5,10.0,10.0
facebook/dinov2-small-imagenet1k-1-layer,pcuenq/oxford-pets,train,pcuenq/oxford-pets_20231130-134100-654677,1,2134.2533960342407,55117.5,10.0,10.0
facebook/dinov2-base-imagenet1k-1-layer,pcuenq/oxford-pets,train,pcuenq/oxford-pets_20231130-134100-654677,1,13694.6371986866,551175.0,100.0,100.0
facebook/dinov2-small-imagenet1k-1-layer,pcuenq/oxford-pets,train,pcuenq/oxford-pets_20231130-134100-654677,1,10667.09417772293,551175.0,100.0,100.0
microsoft/beit-large-patch16-512,huggan/wikiart,train,huggan/wikiart_20231117-102011-747776,3,108497.32421326636,610830.0,10.0,10.0
microsoft/swinv2-base-patch4-window8-256,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,164.73997807502747,7390.0,,
microsoft/swinv2-base-patch4-window8-256,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,87.46787905693054,3500.0,,
microsoft/swinv2-base-patch4-window8-256,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,130.45774245262146,5500.0,,
microsoft/swinv2-base-patch4-window8-256,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,40.71607851982117,1000.0,,
microsoft/swinv2-base-patch4-window8-256,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,21.61496520042419,500.0,,
microsoft/swinv2-base-patch4-window8-256,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,53.718944787979126,2000.0,,
Intel/vit-base-patch16-224-int8-static,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,88.19979882240295,5500.0,,
Intel/vit-base-patch16-224-int8-static,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,117.94821357727052,7390.0,,
Intel/vit-base-patch16-224-int8-static,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,78.48346066474915,3500.0,,
Intel/vit-base-patch16-224-int8-static,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,46.76442766189575,2000.0,,
Intel/vit-base-patch16-224-int8-static,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,35.64347958564758,1000.0,,
Intel/vit-base-patch16-224-int8-static,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,26.035194396972656,500.0,,
microsoft/swin-base-patch4-window12-384,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,203.70421314239505,7390.0,,
microsoft/swin-base-patch4-window12-384,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,162.36456966400146,5500.0,,
microsoft/swin-base-patch4-window12-384,pcuenq/oxford-pets,metrics,pcuenq/oxford-pets_20231121-190822-362963,1,109.28757429122923,3500.0,,
