,metric_combos,Kendall's Tau,Regret
0,n_pars,"{'mean': 0.6, 'lower': 0.56, 'upper': 0.64}","{'mean': 1.79, 'lower': 1.1, 'upper': 2.47}"
1,renggli,"{'mean': 0.35, 'lower': 0.27, 'upper': 0.43}","{'mean': 1.6, 'lower': 0.82, 'upper': 2.37}"
2,LogME,"{'mean': 0.49, 'lower': 0.44, 'upper': 0.54}","{'mean': 2.16, 'lower': 1.38, 'upper': 2.94}"
3,imagenet-validation,"{'mean': 0.58, 'lower': 0.54, 'upper': 0.62}","{'mean': 1.79, 'lower': 1.1, 'upper': 2.47}"
4,n_pars_renggli,"{'mean': 0.46, 'lower': 0.39, 'upper': 0.53}","{'mean': 1.64, 'lower': 0.96, 'upper': 2.33}"
5,n_pars_LogME,"{'mean': 0.53, 'lower': 0.48, 'upper': 0.58}","{'mean': 1.49, 'lower': 0.93, 'upper': 2.04}"
6,n_pars_imagenet-validation,"{'mean': 0.55, 'lower': 0.51, 'upper': 0.59}","{'mean': 1.79, 'lower': 1.1, 'upper': 2.47}"
7,renggli_LogME,"{'mean': 0.45, 'lower': 0.39, 'upper': 0.51}","{'mean': 1.5, 'lower': 0.72, 'upper': 2.27}"
8,renggli_imagenet-validation,"{'mean': 0.48, 'lower': 0.43, 'upper': 0.54}","{'mean': 1.26, 'lower': 0.59, 'upper': 1.92}"
9,LogME_imagenet-validation,"{'mean': 0.55, 'lower': 0.51, 'upper': 0.6}","{'mean': 0.83, 'lower': 0.46, 'upper': 1.2}"
10,n_pars_renggli_LogME,"{'mean': 0.48, 'lower': 0.42, 'upper': 0.54}","{'mean': 1.15, 'lower': 0.56, 'upper': 1.73}"
11,n_pars_renggli_imagenet-validation,"{'mean': 0.52, 'lower': 0.47, 'upper': 0.58}","{'mean': 1.82, 'lower': 1.1, 'upper': 2.53}"
12,n_pars_LogME_imagenet-validation,"{'mean': 0.56, 'lower': 0.52, 'upper': 0.6}","{'mean': 1.37, 'lower': 0.88, 'upper': 1.86}"
13,renggli_LogME_imagenet-validation,"{'mean': 0.52, 'lower': 0.47, 'upper': 0.57}","{'mean': 1.01, 'lower': 0.47, 'upper': 1.54}"
14,n_pars_renggli_LogME_imagenet-validation,"{'mean': 0.52, 'lower': 0.47, 'upper': 0.58}","{'mean': 1.1, 'lower': 0.57, 'upper': 1.63}"
